"GSM3478634"	"GSM3478635"	"GSM3478636"	"GSM3478637"	"GSM3478638"	"GSM3478639"	"GSM3478640"	"GSM3478641"	"GSM3478642"	"GSM3478643"	"GSM3478644"	"GSM3478645"
""	3.70297696176768	3.64944525896773	3.68125395254695	3.78657262611042	3.78290435364894	3.77262936905431	3.66289525008434	3.65828700179917	3.66251604284269	3.75133774125717	3.75852132801079	3.75242919734623
"A1BG"	3.194418	3.387678	3.309804	3.331162	3.304302	3.276851	3.073244	3.074726	3.278664	4.228406	4.365597	4.335118
"A1BG-AS1"	4.887671	4.343971	4.516178	4.678527	4.609516	4.618895	3.896441	3.982995	4.303422	4.329369	4.250378	4.205483
"A1CF"	2.9434485	2.8774835	3.0474615	2.8191325	3.0353465	3.2697545	3.039117	2.8749435	2.816856	2.855746	2.9094225	2.935198
"A2M"	2.7506125	2.9722635	3.3325675	3.150314	3.303597	3.4503265	3.5601155	3.4752705	3.479622	3.314909	3.087137	3.236487
"A2M-AS1"	3.64454	3.234863	3.119848	3.1977	2.999139	3.366955	3.160239	3.200355	3.196697	2.76868	3.029267	2.893707
"A2ML1"	2.92484	2.828628	2.9252775	3.0037945	2.605386	2.693346	2.8349035	2.903819	2.8103045	2.84331	2.6763755	2.8495445
"A2MP1"	2.988364	3.122901	3.078825	2.988364	3.135847	3.152782	3.493705	3.226582	3.458297	3.169725	3.057405	3.269492
"A4GALT"	4.967225	4.54076	5.444719	5.221063	4.780475	5.289982	4.379564	4.27178	4.360138	4.238639	4.367399	4.406649
"A4GNT"	3.227397	3.964756	3.798845	3.827684	3.910453	3.755635	3.699169	3.550679	3.914767	3.784192	3.803886	3.806699
"AA06"	4.26726	3.884888	4.350833	4.191765	4.260113	4.019937	3.823167	4.082016	3.983737	3.93115	3.865324	3.914828
"AAAS"	7.301379	6.719096	6.85765	6.969221	7.052303	7.013608	6.906837	7.047078	6.977563	7.161443	7.220524	7.225374
"AACS"	8.281134	8.159842	8.154242	8.690538	8.703948	8.661005	8.340693	8.434544	8.439992	8.680117	8.741611	8.694854
"AACSP1"	2.45171	2.441029	2.481021	2.55525	2.54317	2.64875	2.401267	2.573309	2.279174	2.138598	2.347513	2.353592
"AADAC"	3.34037	2.823688	2.914631	3.337538	2.907512	3.187445	2.982888	2.961999	2.982888	3.017939	3.005877	2.987539
"AADACL2"	2.550382	2.34401	2.316185	2.468159	2.604108	2.325477	2.252531	2.396995	2.578768	2.559822	2.55057	2.640888
"AADACP1"	2.380847	2.336718	2.301371	2.540886	2.267506	2.592914	2.330136	2.319577	2.169576	2.380207	2.403784	2.447
"AADAT"	7.223358	6.969502	7.101305	7.171704	7.170148	7.062015	6.833256	6.788997	6.856724	6.607217	6.65168	6.544524
"AAED1"	8.445643	8.173767	8.21419	7.271264	7.186954	6.979964	9.178126	9.287722	9.271938	9.185879	9.154691	9.134616
"AAGAB"	6.42369966666667	6.17027666666667	6.16463166666667	6.21215566666667	6.31020833333333	6.179152	5.73479166666667	5.67786366666667	5.634119	6.084807	6.09101566666667	6.05959533333333
"AAK1"	5.24864142857143	5.22421214285714	5.165469	5.19807057142857	5.21762185714286	5.27962785714286	5.47978871428571	5.47315542857143	5.44153828571429	5.35972185714286	5.40093842857143	5.37608485714286
"AAMDC"	6.72226366666667	6.27284066666667	6.12153733333333	5.86678933333333	5.88010266666667	5.91408266666667	6.14516833333333	6.212659	6.21935533333333	5.638351	5.68090766666667	5.71319266666667
"AAMP"	8.969074	8.860759	8.821916	8.920264	8.879372	8.856001	9.114265	9.086629	9.10038	9.234981	9.298213	9.252728
"AANAT"	3.91284	3.775225	3.468707	3.970699	3.889459	3.90737	2.988408	3.559191	3.546981	3.330034	3.554022	3.209312
"AAR2"	8.886806	8.575523	8.600407	8.672168	8.701283	8.700006	8.19103	8.206644	8.211836	8.392004	8.383658	8.438054
