"GSM380517"	"GSM380518"	"GSM380519"	"GSM380520"
""	4.84048829659488	4.89068905755256	5.08377339560087	5.47495299328434
"A1CF"	5.91358783841877	5.486704000641	5.6994663467396	6.43002938162902
"A2M"	9.3997865239478	8.4705538261679	9.13372495770975	9.24875132792126
"A4GALT"	5.86726366537302	6.10202547752879	6.39945840041442	6.25757882353369
"A4GNT"	4.6101464242693	4.52322681312433	4.63047495988357	4.72822686136402
"AAAS"	7.34757477523889	6.996173541433	7.33160546696148	7.50626789871232
"AACS"	8.4832639521288	8.81013166047372	7.45810558233417	7.45214379377193
"AADAC"	4.86998791879125	5.02882013516761	5.41143390961387	6.09654108399465
"AAGAB"	6.14296177864322	6.01839200615234	6.39125208340633	6.15330923888249
"AAK1"	5.21495230040976	5.1880160692708	5.77731161761697	6.14249890717952
"AAMDC"	6.02491293470921	6.55271935925261	6.03306116199196	6.04506746419709
"AAMP"	8.385820734406	7.90750479146506	8.05671607352097	7.9431933504869
"AANAT"	3.54845517320369	3.89834754265068	3.97806131592019	4.26860057403936
"AAR2"	7.55832306850527	7.7337478911187	7.75048524315599	7.77223270569807
"AARS"	8.68761641743528	8.67537154182742	9.57025159353417	8.04018423094493
"AARSD1 /// PTGES3L /// PTGES3L-AARSD1"	6.42621845053442	6.10536789196184	6.15531168178861	6.69506409873175
"AASDHPPT"	6.60976711950664	7.4760554554183	7.90584806854719	7.63310974922585
"AASS"	5.82628985110519	4.83079296272432	4.50145218913094	5.1122973578847
"AATF"	8.24133165004516	8.29284235783157	7.82343369345303	7.34590409784015
"AATK"	7.25151690666796	7.57762151636386	7.64139165008121	8.02716968235048
"ABAT"	4.74413748962505	6.37679212873878	7.02758932078306	4.82942746075599
"ABCA1"	6.54232229174891	7.39170180102045	5.51528208360579	6.66111236404722
"ABCA11P"	4.82616156594617	5.70205981862845	4.25837205372394	5.21651843442312
"ABCA12"	3.32716699344506	3.44109270617718	3.49611897560588	4.03749678159553
"ABCA2"	5.19357634781819	5.21973893947669	5.17226688711746	5.50307895859537
"ABCA3"	6.13403013148684	6.8602804983907	6.84575615113424	6.36342662295273
"ABCA4"	5.08980977871455	5.39836467844905	5.40691020822707	5.69536170296538
"ABCA5"	6.66186788807376	8.21428271363406	5.97526100966193	5.07368225723316
"ABCA6"	3.37192148846588	3.56182384892705	3.7602536016928	4.3732935954141
"ABCA7"	6.04299006466308	6.4524373432514	6.49241913407116	6.24802024611509
"ABCA8"	4.71872250887438	3.74347719168078	4.18318130995653	4.41038524408151
"ABCB1"	3.77849665958452	3.69029260395264	3.79874888539771	4.07868816078674
"ABCB1 /// ABCB4"	5.37364233905098	3.81668953949152	4.06497883094153	4.922204714995
"ABCB11"	3.70713034916148	3.82312388963017	3.84088081695633	3.92873711236591
"ABCB4"	4.81012832316788	4.38309264408262	4.53100971783311	4.62103203747626
"ABCB6"	5.34028652363554	5.27951231878879	5.34103411380448	5.39209005824327
"ABCB7"	7.46708839266255	6.89675463865786	6.36679673532368	7.13448570709691
"ABCB8"	4.81131453254525	4.72916278879533	4.864707262118	4.90923469992737
"ABCB8 /// ASIC3"	4.43069221660793	4.76772543108699	4.77403088088319	4.9234769338746
"ABCB9"	5.55243291598704	5.33413905375573	5.97530331687136	6.31421000783707
"ABCC1"	6.73839779183133	6.7009184651827	7.46363768834246	7.36621086845421
"ABCC10"	8.05659481756961	7.44855490308147	6.8094826843949	6.99729120243216
"ABCC2"	4.06583564112732	4.23285292515416	4.33964585408238	5.23641178712764
"ABCC3"	4.60240770555962	4.85151956734704	4.80129405971241	5.5514424537183
"ABCC4"	6.37669294682044	5.6596828390894	7.0209020812539	6.45735815453348
"ABCC5"	8.05161137139657	7.81314518549126	8.92726369167123	8.3091529942429
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322"	6.31764578890276	5.72726999184911	5.56648850226594	6.49987947741872
"ABCC6 /// LOC101930322"	4.56094802894821	4.4096107977527	4.24578493508734	4.77018879839157
"ABCC8"	5.08732406749166	7.45865684676062	5.82460437430683	5.4168681204208
"ABCC9"	4.61933132063226	4.55232672643308	4.76241163015845	5.20289161182769
"ABCD1"	5.79567029855673	5.8137086087192	5.69407923336883	6.17803825557862
"ABCD1P2 /// ABCD1P2"	4.43387690938717	4.59318761341201	4.53715969985859	5.35373022585362
"ABCD2"	3.14462543142642	3.23449965417252	3.4678912523225	3.56182384892705
"ABCD3"	9.22912487861712	9.12878263836608	8.92186169575955	7.3573018325915
"ABCD4"	6.66326396070864	6.94597431647759	6.70258085355462	6.82957416610569
"ABCE1"	8.07527205881171	6.87090265660524	7.85763416144152	8.24550911284865
"ABCF1"	9.83345675074351	8.6126259353438	8.54566090679765	7.28467413459869
"ABCF2"	5.22050563576815	5.44927417874626	5.73272469989586	5.57042912601643
"ABCF3"	7.3714017273322	6.98966104865186	7.40272555871279	6.6685981362406
"ABCG1"	6.14582838063416	7.28493227170127	5.50577013072643	6.83428248611879
"ABCG2"	5.16550173570428	4.93959542094742	5.07494005455852	6.09438142912967
"ABCG4"	5.09805307331676	5.02715430543959	5.54229250496793	5.64795599848373
"ABCG5"	4.1378624141251	4.06070800658085	4.15299603458194	4.90412850137612
"ABHD10"	8.32191264960774	8.65453918779882	7.96402694813152	7.78946706924263
"ABHD11"	9.41350801456395	7.8451150046313	7.89709998318548	8.19285270920468
